source_name,source_job_id,job_fingerprint,title,company_name,location_city,location_country,posting_date,source_url
jooble,-1733564566947666663,,Senior Software Engineer,aiXplain,Riyadh,,2026-08-23,https://sa.jooble.org/jdp/-1733564566947666663
jooble,-7362697528002849045,,Software Engineer,Prime Gate,Riyadh,,2026-06-25,https://sa.jooble.org/jdp/-7362697528002849045
jooble,1541570789520915015,,Embedded Software Engineer (Mid-Senior Level),Movandi,Riyadh,,2026-09-01,https://sa.jooble.org/jdp/1541570789520915015
jooble,4339413569151335538,,Software Engineer II - Android (Saudi National),HungerStation,Riyadh,,2026-08-19,https://sa.jooble.org/jdp/4339413569151335538
jooble,-4458334633505736665,,Business Development Manager - AI / Software Development | Saudi Arabia,Rawaj - Human Capital Management,Riyadh,,2026-07-28,https://sa.jooble.org/jdp/-4458334633505736665
jooble,-7098754978372826414,,MEP Engineer,AECOM,Riyadh,,2026-09-03,https://sa.jooble.org/jdp/-7098754978372826414
jooble,-6739740750505492271,,Data Privacy Specialist,KALSOFT,Jeddah,,2026-09-02,https://sa.jooble.org/jdp/-6739740750505492271
jooble,-315012355497662020,,Data Operator,Private Company,Jeddah,,2026-08-16,https://sa.jooble.org/jdp/-315012355497662020
jooble,-433613020121903543,,Accounts Data Entry Clerk,,Jeddah,,2026-08-27,https://sa.jooble.org/jdp/-433613020121903543
jooble,-6830922058396674753,,Commercial Performance Analyst,AlBorg Diagnostics,Jeddah,,2026-09-06,https://sa.jooble.org/jdp/-6830922058396674753
jooble,-3704758637163258149,,Data Extraction & Lead Generation Specialist,tawteen,Jeddah,,2026-08-26,https://sa.jooble.org/jdp/-3704758637163258149
jooble,2839966244830001053,,Senior Costing Analyst - Jeddah,MBRF Global Foods Company S.A.,Jeddah,,2026-09-09,https://sa.jooble.org/jdp/2839966244830001053
jooble,-8932722932997582916,,Accounting Analyst,Saudi Aramco (ASC),Saudi Arabia,,2026-02-19,https://sa.jooble.org/jdp/-8932722932997582916
jooble,-261756102079140793,,Accounting Analyst,Saudi Aramco (ASC),Saudi Arabia,,2026-02-17,https://sa.jooble.org/jdp/-261756102079140793
jooble,5695851738714217073,,Accounting Analyst,Saudi Aramco (ASC),Saudi Arabia,,2026-02-04,https://sa.jooble.org/jdp/5695851738714217073
jooble,2874359229038682899,,Channel Account Manager,ForeScout,Saudi Arabia,,2026-08-15,https://sa.jooble.org/jdp/2874359229038682899
jooble,-2022191942759881617,,MM Account Executive,Referral Board,Saudi Arabia,,2026-08-04,https://sa.jooble.org/jdp/-2022191942759881617
jooble,5807243738105366542,,Lead Accounting Analyst,Saudi Aramco (ASC),Saudi Arabia,,2026-03-11,https://sa.jooble.org/jdp/5807243738105366542
jooble,-4959551001592404436,,Country Unit Project Manager- KSA,STRAGO,Dammam,,2026-09-02,https://sa.jooble.org/jdp/-4959551001592404436
jooble,5052845463325126977,,Project Manager,Emerson Group,Dammam,,2026-09-07,https://sa.jooble.org/jdp/5052845463325126977
jooble,7118226060499654489,,Logistics Project Manager,"GE Vernova, Inc.",Dammam,,2026-09-08,https://sa.jooble.org/jdp/7118226060499654489
jooble,-4990950907181094648,,Project Manager - Substation,Hill Intl.,Dammam,,2026-09-06,https://sa.jooble.org/jdp/-4990950907181094648
jooble,9218183376603493581,,Project Management Engineer,Salem Balhamer Group.,Dammam,,2026-09-08,https://sa.jooble.org/jdp/9218183376603493581
jooble,-7110231245641985443,,Maintenance Project Manager,Saeed Raddad Group,Dammam,,2026-09-07,https://sa.jooble.org/jdp/-7110231245641985443
